epoch,split,loss,acc,precision,recall,f1,time_s
1,train,1.171084,0.757136,0.0,0.0,0.0,1468.0
1,val,0.403813,0.905381,0.905611,0.905381,0.904987,
2,train,0.348537,0.913334,0.0,0.0,0.0,1467.8
2,val,0.298572,0.912434,0.914379,0.912434,0.912472,
3,train,0.23867,0.933116,0.0,0.0,0.0,1467.9
3,val,0.307841,0.914969,0.91551,0.914969,0.913196,
4,train,0.186632,0.947719,0.0,0.0,0.0,1468.2
4,val,0.29207,0.916871,0.918332,0.916871,0.916633,
5,train,0.147608,0.959808,0.0,0.0,0.0,1467.9
5,val,0.313932,0.920913,0.920688,0.920913,0.920055,
6,train,0.12055,0.968604,0.0,0.0,0.0,1467.7
6,val,0.329193,0.922339,0.922,0.922339,0.921561,
7,train,0.098947,0.975515,0.0,0.0,0.0,1467.0
7,val,0.380075,0.919803,0.919665,0.919803,0.919049,
test,test,0.28539,0.91878,0.920212,0.91878,0.918631,
